eshop,status,latest_dir,csv_path,json_path,source_date
Stoten,ok,H:/Desaka\stoten\Full_13.01.2026,H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv,,2026-01-13T00:00:00
Sportspin,ok,H:/Desaka\sportspin\Full_13.01.2026,H:/Desaka\sportspin\Full_13.01.2026\SportspinOutput.csv,,2026-01-13T00:00:00
VseNaStolniTenis,ok,H:/Desaka\vsenastolnitenis\Full_13.01.2026,H:/Desaka\vsenastolnitenis\Full_13.01.2026\VseNaStolniTenisOutput.csv,,2026-01-13T00:00:00
Spinway,ok,H:/Desaka\spinway\Full_13.01.2026,H:/Desaka\spinway\Full_13.01.2026\SpinwayOutput.csv,,2026-01-13T00:00:00
Gewo,ok,H:/Desaka\gewo\Full_13.01.2026,H:/Desaka\gewo\Full_13.01.2026\GewoOutput.csv,,2026-01-13T00:00:00
Nittaku,ok,H:/Desaka\nittaku\Full_13.01.2026,H:/Desaka\nittaku\Full_13.01.2026\NittakuOutput.csv,,2026-01-13T00:00:00
