memory_file,row_index,key
CategoryMappingHeureka_CS.csv,1,Čističe
CategoryMappingHeureka_CS.csv,2,Dřeva
CategoryMappingHeureka_CS.csv,3,Dřeva>Dřeva ALL
CategoryMappingHeureka_CS.csv,4,Dřeva>Dřeva DEF
CategoryMappingHeureka_CS.csv,5,Dřeva>Dřeva OFF
CategoryMappingHeureka_CS.csv,6,Lepidla
CategoryMappingHeureka_CS.csv,7,Lepidla>Klasické přelepování
CategoryMappingHeureka_CS.csv,8,Lepidla>Lepicí fólie
CategoryMappingHeureka_CS.csv,9,Lepidla>Příslušenství k lepení
CategoryMappingHeureka_CS.csv,10,Lepidla>Vodou ředitelné
CategoryMappingHeureka_CS.csv,11,Míčky
CategoryMappingHeureka_CS.csv,12,Míčky>*** I.T.T.F
CategoryMappingHeureka_CS.csv,13,Míčky>Tréninkové
CategoryMappingHeureka_CS.csv,14,Ohrádky
CategoryMappingHeureka_CS.csv,15,Pálky
CategoryMappingHeureka_CS.csv,16,Pálky>Hotové pálky
CategoryMappingHeureka_CS.csv,17,Pálky>Sady pálek
CategoryMappingHeureka_CS.csv,18,Počítadla
CategoryMappingHeureka_CS.csv,19,Poháry
CategoryMappingHeureka_CS.csv,20,Potahy
CategoryMappingHeureka_CS.csv,21,Potahy>Antitopspiny
CategoryMappingHeureka_CS.csv,22,Potahy>Sendviče
CategoryMappingHeureka_CS.csv,23,Potahy>Softy
CategoryMappingHeureka_CS.csv,24,Potahy>Softy>Softy ALL
CategoryMappingHeureka_CS.csv,25,Potahy>Softy>Softy DEF
CategoryMappingHeureka_CS.csv,26,Potahy>Softy>Softy OFF
CategoryMappingHeureka_CS.csv,27,Potahy>Trávy
CategoryMappingHeureka_CS.csv,28,Poukázky
CategoryMappingHeureka_CS.csv,29,Pouzdra
CategoryMappingHeureka_CS.csv,30,Pouzdra>Kufříky
CategoryMappingHeureka_CS.csv,31,Pouzdra>Na 1 pálku
CategoryMappingHeureka_CS.csv,32,Pouzdra>Na 2 pálky
CategoryMappingHeureka_CS.csv,33,Příslušenství
CategoryMappingHeureka_CS.csv,34,Roboti
CategoryMappingHeureka_CS.csv,35,Síťky
CategoryMappingHeureka_CS.csv,36,Sportovní obuv
CategoryMappingHeureka_CS.csv,37,Stolky pro rozhodčí
CategoryMappingHeureka_CS.csv,38,Stoly
CategoryMappingHeureka_CS.csv,39,Tašky a batohy
CategoryMappingHeureka_CS.csv,40,Tašky a batohy>Batohy
CategoryMappingHeureka_CS.csv,41,Tašky a batohy>Kufry
CategoryMappingHeureka_CS.csv,42,Tašky a batohy>Tašky
CategoryMappingHeureka_CS.csv,43,Textil
CategoryMappingHeureka_CS.csv,44,Textil>Bundy
CategoryMappingHeureka_CS.csv,45,Textil>Čelenky
CategoryMappingHeureka_CS.csv,46,Textil>Čepice
CategoryMappingHeureka_CS.csv,47,Textil>Dresy
CategoryMappingHeureka_CS.csv,48,Textil>Kalhoty
CategoryMappingHeureka_CS.csv,49,Textil>Kraťasy
CategoryMappingHeureka_CS.csv,50,Textil>Mikiny
CategoryMappingHeureka_CS.csv,51,Textil>Polokošile
CategoryMappingHeureka_CS.csv,52,Textil>Ponožky
CategoryMappingHeureka_CS.csv,53,Textil>Potítka
CategoryMappingHeureka_CS.csv,54,Textil>Ručníky
CategoryMappingHeureka_CS.csv,55,Textil>Sukně
CategoryMappingHeureka_CS.csv,56,Textil>Teplákové soupravy
CategoryMappingHeureka_CS.csv,57,Textil>Trika
CategoryMappingHeureka_CS.csv,58,Vyřadit
