memory_file,row_index,key
CategoryMappingGlami_CS.csv,1,Čističe
CategoryMappingGlami_CS.csv,2,Dřeva
CategoryMappingGlami_CS.csv,3,Dřeva>Dřeva ALL
CategoryMappingGlami_CS.csv,4,Dřeva>Dřeva DEF
CategoryMappingGlami_CS.csv,5,Dřeva>Dřeva OFF
CategoryMappingGlami_CS.csv,6,Lepidla
CategoryMappingGlami_CS.csv,7,Lepidla>Klasické přelepování
CategoryMappingGlami_CS.csv,8,Lepidla>Lepicí fólie
CategoryMappingGlami_CS.csv,9,Lepidla>Příslušenství k lepení
CategoryMappingGlami_CS.csv,10,Lepidla>Vodou ředitelné
CategoryMappingGlami_CS.csv,11,Míčky
CategoryMappingGlami_CS.csv,12,Míčky>*** I.T.T.F
CategoryMappingGlami_CS.csv,13,Míčky>Tréninkové
CategoryMappingGlami_CS.csv,14,Ohrádky
CategoryMappingGlami_CS.csv,15,Pálky
CategoryMappingGlami_CS.csv,16,Pálky>Hotové pálky
CategoryMappingGlami_CS.csv,17,Pálky>Sady pálek
CategoryMappingGlami_CS.csv,18,Počítadla
CategoryMappingGlami_CS.csv,19,Poháry
CategoryMappingGlami_CS.csv,20,Potahy
CategoryMappingGlami_CS.csv,21,Potahy>Antitopspiny
CategoryMappingGlami_CS.csv,22,Potahy>Sendviče
CategoryMappingGlami_CS.csv,23,Potahy>Softy
CategoryMappingGlami_CS.csv,24,Potahy>Softy>Softy ALL
CategoryMappingGlami_CS.csv,25,Potahy>Softy>Softy DEF
CategoryMappingGlami_CS.csv,26,Potahy>Softy>Softy OFF
CategoryMappingGlami_CS.csv,27,Potahy>Trávy
CategoryMappingGlami_CS.csv,28,Pouzdra
CategoryMappingGlami_CS.csv,29,Pouzdra>Kufříky
CategoryMappingGlami_CS.csv,30,Pouzdra>Na 1 pálku
CategoryMappingGlami_CS.csv,31,Pouzdra>Na 2 pálky
CategoryMappingGlami_CS.csv,32,Příslušenství
CategoryMappingGlami_CS.csv,33,Roboti
CategoryMappingGlami_CS.csv,34,Síťky
CategoryMappingGlami_CS.csv,35,Sportovní obuv
CategoryMappingGlami_CS.csv,36,Stolky pro rozhodčí
CategoryMappingGlami_CS.csv,37,Stoly
CategoryMappingGlami_CS.csv,38,Tašky a batohy
CategoryMappingGlami_CS.csv,39,Tašky a batohy>Batohy
CategoryMappingGlami_CS.csv,40,Tašky a batohy>Kufry
CategoryMappingGlami_CS.csv,41,Tašky a batohy>Tašky
CategoryMappingGlami_CS.csv,42,Textil
CategoryMappingGlami_CS.csv,43,Textil>Bundy
CategoryMappingGlami_CS.csv,44,Textil>Čelenky
CategoryMappingGlami_CS.csv,45,Textil>Čepice
CategoryMappingGlami_CS.csv,46,Textil>Dresy
CategoryMappingGlami_CS.csv,47,Textil>Kalhoty
CategoryMappingGlami_CS.csv,48,Textil>Kraťasy
CategoryMappingGlami_CS.csv,49,Textil>Mikiny
CategoryMappingGlami_CS.csv,50,Textil>Polokošile
CategoryMappingGlami_CS.csv,51,Textil>Ponožky
CategoryMappingGlami_CS.csv,52,Textil>Potítka
CategoryMappingGlami_CS.csv,53,Textil>Ručníky
CategoryMappingGlami_CS.csv,54,Textil>Sukně
CategoryMappingGlami_CS.csv,55,Textil>Teplákové soupravy
CategoryMappingGlami_CS.csv,56,Textil>Trika
CategoryMappingGlami_CS.csv,57,Vyřadit
CategoryMappingGlami_CS.csv,58,Poukázky
