"Eshop","Name","Url","SourceDate","OutputFile"
"Stoten","TIBHAR - ÁLVARO ROBLES ESTOQUE","https://www.stoten.cz/off/tibhar-alvaro-robles-estoque/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Arrows polokošile","https://www.stoten.cz/polokosile/tibhar-arrows-polokosile/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - ASTRA","https://www.stoten.cz/vyprodej/tibhar-astra/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Aurus","https://www.stoten.cz/softy-utocne/aurus/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Aurus Prime","https://www.stoten.cz/softy-utocne/aurus-prime/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Aurus Select","https://www.stoten.cz/softy-utocne/aurus-select/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Aurus Soft","https://www.stoten.cz/softy-utocne/aurus-soft/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Aurus Sound","https://www.stoten.cz/softy-utocne/aurus-sound/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Azur","https://www.stoten.cz/tricka/tibhar-azur/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Ball case 3","https://www.stoten.cz/doplnky-2/tibhar-ball-case-3/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Balsa Allround 50","https://www.stoten.cz/all/tibhar-balsa-allround-50/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Balsa Def 25","https://www.stoten.cz/def/balsa-def-25/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Balsa Fibre 60","https://www.stoten.cz/off-/balsa-fibre-60/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Balsa Fibretec 75","https://www.stoten.cz/off/balsa-fibretec-75/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - bandáž na kotník","https://www.stoten.cz/sportovni-pomucky/tibhar-bandaz-na-kotnik/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - BASIC 40+ SL 6 ks","https://www.stoten.cz/plastove/tibhar-basic-40--sl-6-ks/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - BASIC 40+ SL 72 ks","https://www.stoten.cz/plastove/tibhar-basic-40--sl-72-ks/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - BASIC 40+ SYNTT NG 6 ks","https://www.stoten.cz/plastove/tibhar-basic-40--syntt-ng-6-ks/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - BASIC 40+ SYNTT NG 72 ks","https://www.stoten.cz/plastove/tibhar-basic-40--syntt-ng-72-ks/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Blue Falcon","https://www.stoten.cz/obuv/tibhar-blue-falcon/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - boxerky Bruno Banani","https://www.stoten.cz/doplnky/tibhar-boxerky-bruno-banani/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Cab polokošile","https://www.stoten.cz/polokosile/tibhar-cab-polokosile/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Clip","https://www.stoten.cz/sitky/tibhar-clip/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - čelenka Evolution","https://www.stoten.cz/celenky-a-natepniky/tibhar-celenka-evolution/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","TIBHAR - čistící spray 250 ml","https://www.stoten.cz/cistice/tibhar-cistici-spray-250-ml/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Defense Plus","https://www.stoten.cz/def/defense-plus/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Double alum cube point","https://www.stoten.cz/kufriky/tibhar-double-alum-cube-point/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Drinkhall Allround Classic","https://www.stoten.cz/all-2/drinkhall-allround-classic/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Drinkhall Power Spin Carbon","https://www.stoten.cz/off-2/drinkhall-power-spin-carbon/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Ellen Def","https://www.stoten.cz/antitopspiny/ellen-def/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
"Stoten","Tibhar - Ellen Off","https://www.stoten.cz/antitopspiny/ellen-off/","2026-01-13T00:00:00","H:/Desaka\stoten\Full_13.01.2026\StotenOutput.csv"
